event_id,file,waveform_file,channel,event_start_time_ns,peak_time_ns,event_end_time_ns,event_duration_ns,peak_amplitude_mV,detection_threshold_mV,event_start_time_EFraw,event_peak_time_EFraw,event_end_time_EFraw,event_start_time_EFdynamic,event_peak_time_EFdynamic,event_end_time_EFdynamic,event_start_time_batch,event_peak_time_batch,event_end_time_batch,cycle_start_time,cycle_end_time,cycle_period_ns,cycle_index,phase,phase_EFraw,signal_amplitude_mV,snr,c1_peak_time_error_ns
C1_evt_00000,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,140.1515,141.3333,142.9201,2.7686,25.17,3.9568,140.085,141.2667,142.8536,140.0155,141.1972,142.7841,140.131,141.3127,142.8996,-6.4772,1006.2137,1012.6909,0,1.0984,0.4337,32.0115,11.5712,-0.8661
C1_evt_00001,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,1169.5973,1170.6282,1172.0017,2.4044,18.2041,4.5359,1169.7759,1170.8068,1172.1803,1169.4594,1170.4903,1171.8638,1169.7004,1170.7313,1172.1048,995.8535,1992.7166,996.8632,1,5.6228,7.8636,20.8106,6.3142,-0.2635
C1_evt_00002,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,2168.6061,2169.8142,2171.5169,2.9108,18.3402,3.5165,2168.3788,2169.5869,2171.2896,2168.7795,2169.9876,2171.6903,2168.606,2169.8141,2171.5168,2007.95,3003.034,995.084,2,3.2965,4.9109,20.6409,9.8484,-2.0882
C1_evt_00003,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,3172.4235,3173.5842,3174.9328,2.5092,27.6158,5.2105,3172.3751,3173.5357,3174.8843,3172.5845,3173.7451,3175.0937,3172.3768,3173.5374,3174.886,3009.4647,4022.2921,1012.8274,3,10.9146,13.4598,32.6858,8.8113,-0.347
C1_evt_00004,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,4218.1629,4219.1517,4220.4562,2.2933,31.1282,6.7293,4218.2428,4219.2315,4220.536,4218.1532,4219.142,4220.4465,4218.1269,4219.1157,4220.4202,3993.542,4989.7055,996.1635,4,54.5978,50.4409,33.4946,8.5999,-1.0193
C1_evt_00005,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,5197.7686,5199.1298,5200.6949,2.9263,37.7068,6.0855,5198.0156,5199.3768,5200.9419,5197.6068,5198.968,5200.5331,5197.812,5199.1733,5200.7383,5000.697,6005.1851,1004.4881,5,41.2798,40.5705,41.0128,11.9943,-2.7864
C1_evt_00006,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,6208.6336,6210.1716,6212.0954,3.4618,23.5524,4.2944,6208.8114,6210.3494,6212.2733,6208.7329,6210.2709,6212.1947,6208.5348,6210.0728,6211.9966,6009.5868,7010.6914,1001.1046,6,37.3087,34.4814,30.7257,10.4463,1.575
C1_evt_00007,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,7218.5918,7219.3303,7220.4088,1.8169,34.6671,6.7403,7218.3705,7219.109,7220.1874,7218.5539,7219.2924,7220.3709,7218.5092,7219.2477,7220.3261,6999.6973,7998.578,998.8808,7,35.6962,40.6511,36.7787,9.0707,-1.0207
C1_evt_00008,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,8192.7426,8193.6714,8195.0575,2.3149,19.448,3.4745,8193.0027,8193.9314,8195.3175,8192.8238,8193.7526,8195.1387,8192.6689,8193.5977,8194.9838,7988.0309,8986.5371,998.5062,8,63.8581,66.7204,23.49,10.9489,0.3697
C1_evt_00009,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,9241.3709,9242.7304,9244.0098,2.639,28.0959,5.1353,9241.2819,9242.6414,9243.9208,9241.4674,9242.827,9244.1064,9241.4673,9242.8269,9244.1063,8999.6051,10001.2782,1001.6731,9,67.6971,64.9019,34.8587,8.8209,0.2163
